L,M,H
915.2297152593201,3877.75,6840.27028474068
1153.407488275469,4040.25,6927.0925117245315
894.3552864569106,3885.25,6876.14471354309
957.9250071023898,3993.875,7029.82499289761
962.4810004060687,3869.625,6776.768999593931
1001.8834809286154,3821.625,6641.366519071385
893.4765965485126,3798.375,6703.273403451487
742.8593077736668,3733.5,6724.140692226333
600.656665739511,3542.75,6484.843334260489
466.8753587713436,3537.25,6607.624641228656
500.69533930372745,3507.625,6514.554660696273
490.7666981599714,3472.0,6453.233301840029
519.0093149572858,3439.375,6359.740685042714
670.5934934022944,3408.875,6147.156506597706
888.7325673170262,3518.5,6148.267432682974
1042.520541222908,3653.875,6265.229458777092
1160.0598091234679,3635.875,6111.690190876532
1059.9797324696524,3601.0,6142.020267530348
996.0917008611423,3556.0,6115.908299138858
1231.7381348673875,3542.875,5854.011865132612
1300.9884275724403,3450.5,5600.01157242756
1222.2469110400593,3422.625,5623.00308895994
1149.4944054753032,3403.375,5657.255594524697
1149.153350169674,3480.75,5812.346649830326
1145.9153056955356,3500.75,5855.584694304464
1214.7224932082595,3413.625,5612.527506791741
1269.6146500016275,3457.875,5646.1353499983725
1318.0736494901148,3537.375,5756.676350509885
1368.220186800214,3535.375,5702.529813199786
1422.0875707998507,3616.875,5811.662429200149
1316.3917143607096,3536.125,5755.85828563929
1266.6548458140965,3564.125,5861.595154185903
1279.8104597743632,3672.125,6064.439540225637
1329.2077827301614,3654.625,5980.042217269838
1570.4474767527722,3769.5,5968.552523247228
1550.0554925657934,3730.5,5910.944507434207
1570.317270612621,3778.25,5986.182729387379
1518.469071879022,3789.375,6060.2809281209775
1534.8991240781452,3812.5,6090.100875921855
1441.0232096633822,3797.25,6153.476790336617
1412.6364779277815,3768.375,6124.113522072219
1388.226189655652,3763.125,6138.023810344348
1486.3194728157387,3896.625,6306.930527184261
1607.6985575175827,4009.375,6411.051442482418
1518.9683037952282,4012.875,6506.781696204772
1520.6766071039433,4011.375,6502.073392896056
1485.3726846271948,4073.375,6661.377315372805
1421.4160794078593,3960.875,6500.33392059214
1323.0015581125149,3860.125,6397.248441887485
1419.5753157198951,3962.375,6505.174684280105
1567.2344254438676,4086.375,6605.515574556132
1568.742758319575,4129.875,6691.007241680425
1663.2474828898594,4183.5,6703.752517110141
1800.520296806099,4338.625,6876.7297031939015
1884.482375278993,4401.375,6918.267624721007
1964.5595102185116,4462.0,6959.440489781488
1953.8621637642004,4509.5,7065.137836235799
2083.8837942824803,4593.5,7103.11620571752
2188.8895270681346,4755.75,7322.610472931865
2239.284868852993,4789.0,7338.715131147007
2091.3676750391887,4769.5,7447.632324960811
2117.034176646074,4774.625,7432.215823353927
1910.177058311695,4614.0,7317.822941688305
2124.457489719909,4802.875,7481.292510280091
2068.4545699740293,4833.375,7598.295430025971
2066.9793849807465,4859.25,7651.5206150192535
2003.5455450105028,4888.375,7773.204454989497
2009.7860210948265,4849.25,7688.7139789051735
1929.7149719246659,4757.375,7585.035028075334
1958.4720299737742,4774.0,7589.527970026225
2177.811589534616,4973.0,7768.188410465384
2101.528887452654,4905.5,7709.471112547346
2107.782775474019,4889.0,7670.217224525981
2123.4950510474023,4939.75,7756.004948952597
2072.8321161708063,4924.125,7775.417883829194
2114.030221686025,4966.375,7818.7197783139745
2177.6777149837067,5127.625,8077.572285016293
2160.0972096200094,5091.375,8022.652790379991
2072.407009225672,4980.0,7887.592990774328
1977.888872458714,4983.5,7989.111127541286
2043.624136585389,4966.25,7888.875863414611
2044.6480824329096,4907.0,7769.35191756709
2082.7858965117116,4940.375,7797.964103488288
2151.4811835115206,4980.625,7809.768816488479
2290.6740281545303,5066.0,7841.32597184547
2303.0503888317244,4998.625,7694.199611168276
2359.4859876684086,4946.5,7533.514012331591
2217.79179338972,4937.25,7656.708206610279
2241.6913295489817,4924.875,7608.058670451019
2297.308090029729,4979.0,7660.691909970271
2305.0547954993667,4932.125,7559.195204500633
2168.8704455263564,4829.375,7489.879554473644
2125.268688923746,4744.625,7363.981311076253
2140.271900232115,4735.125,7329.9780997678845
2255.3983609050474,4891.0,7526.601639094953
2299.9976571777916,4934.375,7568.752342822208
2315.8939801727556,5008.25,7700.606019827244
2308.2624571888855,5080.25,7852.2375428111145
2290.625708473095,5124.625,7958.624291526905
2373.9329689037518,5171.875,7969.817031096249
2378.9174625196206,5164.625,7950.332537480379
