L,M,H
493.12267153840463,504.8,516.4773284615954
494.7362924011274,520.55,546.3637075988726
489.03203894854266,520.15,551.2679610514573
494.9089827537465,530.25,565.5910172462535
493.28002110341436,526.45,559.6199788965857
487.0149710080391,526.25,565.4850289919609
490.1921474039691,528.4,566.6078525960309
491.25408243940825,533.2,575.1459175605918
496.8005376382939,534.0,571.1994623617061
495.41756117550767,534.7,573.9824388244924
496.57472707516484,536.65,576.7252729248352
500.11139584269665,537.4,574.6886041573033
502.6590279396459,539.9,577.140972060354
498.619750871445,535.95,573.280249128555
497.28675427898827,538.25,579.2132457210117
500.73252033383926,539.0,577.2674796661607
500.49673782479,538.05,575.6032621752099
502.48860068604836,538.9,575.3113993139516
504.51816732190076,540.15,575.7818326780992
499.5853751846442,537.2,574.814624815356
503.09070051021723,538.85,574.6092994897828
508.0756309494965,542.25,576.4243690505035
501.5020694830813,538.95,576.3979305169188
503.4160335207877,540.05,576.6839664792121
510.55236809950145,542.75,574.9476319004985
505.6570424473862,542.75,579.8429575526138
505.2012786222733,542.35,579.4987213777267
501.53323551555513,538.45,575.366764484445
503.142477147009,540.2,577.2575228529911
505.0401320134404,541.4,577.7598679865595
506.42831926303654,543.05,579.6716807369634
505.94949461260575,543.05,580.1505053873942
507.6060690875173,545.5,583.3939309124827
510.1663307055454,548.2,586.2336692944547
506.4958600909406,545.75,585.0041399090594
508.2232281959783,546.85,585.4767718040217
506.4214163559238,546.1,585.7785836440763
506.9042477917933,548.1,589.2957522082067
505.802843697709,548.0,590.197156302291
505.16529728373695,546.75,588.3347027162631
507.69538947613154,549.45,591.2046105238686
509.19487365837574,550.65,592.1051263416242
508.47096621275404,549.3,590.1290337872458
508.5652544812554,551.25,593.9347455187446
506.58712222538884,551.05,595.5128777746111
510.60306614859985,553.0,595.3969338514001
506.2723562548161,550.6,594.927643745184
506.94423756353797,551.85,596.7557624364621
505.19178081209566,552.95,600.7082191879044
502.8802947672639,552.75,602.6197052327361
506.8077089523737,554.8,602.7922910476262
507.86333345069653,555.2,602.5366665493036
509.1878065263941,554.3,599.4121934736058
510.13051232613554,553.95,597.7694876738645
506.4321851726663,552.4,598.3678148273336
508.0700724333962,555.7,603.3299275666038
509.57396002234543,556.15,602.7260399776545
504.2394108346274,554.65,605.0605891653726
504.92794619577194,553.4,601.872053804228
505.961809830657,554.75,603.538190169343
507.2411342581498,553.35,599.4588657418502
509.1327554357444,557.2,605.2672445642556
505.4066536720902,555.0,604.5933463279098
508.50485561546463,556.9,605.2951443845353
507.32606921869547,555.55,603.7739307813044
511.0769961652168,559.45,607.8230038347832
514.2337757075106,560.7,607.1662242924895
513.3922796549915,560.35,607.3077203450085
516.1616901722786,561.6,607.0383098277215
515.0226832188899,560.75,606.4773167811101
513.4628460277587,560.65,607.8371539722413
512.9005387962306,559.3,605.6994612037693
515.6598765968312,561.85,608.0401234031689
514.1080873052905,558.0,601.8919126947095
514.3295578945656,558.55,602.7704421054343
515.1381309024657,558.85,602.5618690975343
514.4088177218688,558.35,602.2911822781313
515.2390291151147,560.25,605.2609708848853
513.6296411549083,559.75,605.8703588450917
517.749795799787,560.6,603.4502042002131
518.4761035916657,561.8,605.1238964083342
517.9620481310363,562.05,606.1379518689636
518.8328666692797,560.5,602.1671333307203
518.0952303338906,562.65,607.2047696661093
519.1837993340451,562.4,605.6162006659548
519.6154362806795,562.85,606.0845637193205
517.4477299442897,560.95,604.4522700557104
520.4501493431566,562.3,604.1498506568433
520.2273247819905,562.3,604.3726752180094
521.3147299026666,562.55,603.7852700973333
519.2752998840247,562.0,604.7247001159753
521.3457136495532,563.05,604.7542863504467
521.2963096859328,563.3,605.3036903140671
520.7605323500043,562.65,604.5394676499957
519.5129247228073,560.9,602.2870752771927
518.8579730874858,560.4,601.9420269125142
519.5916276327329,561.4,603.2083723672671
519.9207339294603,561.75,603.5792660705397
517.8518851920418,560.95,604.0481148079583
518.5512740840692,562.7,606.8487259159309
516.8599158900561,560.85,604.840084109944
