L,M,H
482.36451097776694,501.05,519.7354890222331
944.1902007855202,954.4,964.6097992144797
945.0584762136758,954.05,963.0415237863241
944.1630467859508,953.45,962.7369532140493
939.9950829580877,952.2,964.4049170419124
949.1262027082506,957.7,966.2737972917495
940.5859392945196,952.15,963.7140607054804
942.5145922055183,954.5,966.4854077944817
941.6665773014843,954.1,966.5334226985158
948.092349924673,957.9,967.7076500753269
939.8650587335161,954.55,969.2349412664838
945.8591800145035,955.25,964.6408199854965
941.5435465561972,952.2,962.8564534438029
943.315570225395,955.35,967.384429774605
948.2031754034257,954.5,960.7968245965743
942.4089321331754,953.6,964.7910678668246
940.9182344277295,952.7,964.4817655722705
946.226077084071,955.8,965.3739229159289
939.5217159087035,952.75,965.9782840912965
942.488059406093,953.8,965.1119405939069
943.1452198278682,952.3,961.4547801721317
943.1353364528759,950.9,958.6646635471241
945.6929519022902,953.5,961.3070480977098
945.4610740956033,955.05,964.6389259043966
949.0111600393177,955.95,962.8888399606824
948.2632373352939,955.15,962.0367626647061
941.249064217948,950.6,959.950935782052
941.0623244825763,951.3,961.5376755174236
940.1687934753201,951.4,962.6312065246799
943.8082191340012,954.45,965.0917808659989
945.3631092236438,955.75,966.1368907763562
944.583531385455,953.7,962.8164686145451
940.093267156378,952.35,964.606732843622
941.1297273454015,954.15,967.1702726545984
944.4984849644088,954.4,964.3015150355911
942.0512897485481,954.65,967.2487102514518
943.754224559222,954.7,965.645775440778
940.8184897473297,950.95,961.0815102526703
941.4476831886706,951.7,961.9523168113295
940.5484757042105,952.85,965.1515242957895
937.9554362102539,948.3,958.644563789746
944.8972830098962,954.1,963.3027169901038
943.3322007006278,955.35,967.3677992993722
948.8839549964923,957.15,965.4160450035076
943.3883490023625,953.05,962.7116509976374
940.6204294572752,950.4,960.1795705427247
941.1069740492968,953.65,966.1930259507031
940.1781436601394,953.0,965.8218563398606
943.1535030082619,953.5,963.8464969917381
945.6111407911387,957.05,968.4888592088612
942.0268926572735,955.4,968.7731073427265
940.3976536283576,954.25,968.1023463716424
945.0986911891596,954.65,964.2013088108404
941.0658563552776,953.75,966.4341436447224
942.6718506587977,952.1,961.5281493412024
943.6445056115648,955.25,966.8554943884352
945.408199476697,957.6,969.7918005233031
942.6329691943589,952.55,962.467030805641
943.1067705607146,954.55,965.9932294392853
943.3347390450988,954.4,965.4652609549012
938.3251321360442,950.15,961.9748678639558
939.4678694717386,952.4,965.3321305282614
945.6148624203809,955.7,965.7851375796192
946.1074284743686,956.2,966.2925715256315
948.2190978904318,961.3,974.3809021095681
938.663046785957,947.95,957.2369532140431
947.2058992205596,956.95,966.6941007794405
946.5632664646032,956.45,966.3367335353969
945.1118055826844,954.0,962.8881944173156
941.4376996627233,954.35,967.2623003372768
945.5810152293222,954.15,962.7189847706777
941.6887444453797,952.8,963.9112555546202
946.9142547392471,955.15,963.3857452607529
946.5867334513807,957.9,969.2132665486192
940.7184958013459,953.55,966.381504198654
941.1557940476027,953.45,965.7442059523974
946.1808266473513,956.1,966.0191733526487
938.0613914302969,952.65,967.238608569703
947.6412008180986,958.3,968.9587991819013
940.2209854996454,952.6,964.9790145003547
941.4240510152129,952.95,964.4759489847872
944.4420304601947,953.7,962.9579695398054
942.4339240017441,953.25,964.0660759982559
947.2568677287932,956.9,966.5431322712068
941.2885381364393,952.2,963.1114618635607
942.1345631272189,952.75,963.3654368727811
943.6956419996003,953.45,963.2043580003998
945.7308784184851,955.35,964.969121581515
943.1105979795415,954.9,966.6894020204585
950.7353941710518,959.9,969.0646058289482
936.8163486038196,952.1,967.3836513961804
945.7521384587557,953.35,960.9478615412444
949.1444987587255,957.1,965.0555012412746
946.8249015753097,956.35,965.8750984246903
944.9207611802035,956.35,967.7792388197965
945.0454448948112,955.75,966.4545551051888
945.2636528446268,957.8,970.3363471553731
940.312615615377,951.8,963.2873843846229
946.2891564897051,956.9,967.5108435102949
945.2041909253503,954.15,963.0958090746497
944.425807527242,954.1,963.774192472758
