L,M,H
480.6294685665679,498.6,516.5705314334322
482.1563869463973,507.4,532.6436130536026
480.4712941282355,504.0,527.5287058717645
469.70304676133986,497.6,525.4969532386601
483.1567492429898,502.6,522.0432507570102
467.5922492262491,493.4,519.2077507737508
479.5899015651107,499.4,519.2100984348892
472.6282595152712,498.8,524.9717404847288
476.7268650672867,497.0,517.2731349327133
493.6160994020326,511.0,528.3839005979675
475.47248608643116,502.2,528.9275139135688
485.54390860238374,503.4,521.2560913976163
477.82507725601937,498.05,518.2749227439807
484.71324798673356,503.2,521.6867520132664
483.62382641959044,500.4,517.1761735804096
483.2694262376846,503.4,523.5305737623154
469.4091858260054,489.0,508.5908141739946
479.7410867692194,499.8,519.8589132307807
483.7461495067551,504.2,524.6538504932449
486.65121086798234,504.2,521.7487891320177
481.78417188602526,505.8,529.8158281139748
472.18468214993027,497.0,521.8153178500697
486.16424949767037,508.0,529.8357505023296
484.97501445087227,506.6,528.2249855491278
491.9686515374031,512.4,532.8313484625969
478.4280874760156,501.2,523.9719125239844
473.5426801210552,496.6,519.6573198789449
475.3290046940131,501.0,526.6709953059868
474.1428105083573,500.4,526.6571894916426
484.6168387015318,504.8,524.9831612984683
481.7157064418427,502.4,523.0842935581572
476.997413937235,500.2,523.402586062765
473.2212206499246,499.6,525.9787793500755
487.15055556317634,507.4,527.6494444368236
480.2902261320806,498.2,516.1097738679194
485.1945955813422,500.0,514.8054044186578
492.8542040611837,509.8,526.7457959388163
486.979833480012,509.8,532.620166519988
482.84003484323256,505.8,528.7599651567674
472.5897220942839,494.0,515.410277905716
476.85607862029184,496.8,516.7439213797081
486.493276175726,503.6,520.706723824274
483.2048004608883,508.2,533.1951995391116
474.50743082765433,499.4,524.2925691723457
476.6407048594947,494.8,512.9592951405053
474.9759058153952,497.4,519.8240941846047
482.9530262413065,509.8,536.6469737586935
466.0413036903739,491.2,516.358696309626
474.484633147353,502.8,531.115366852647
473.8369677164876,496.0,518.1630322835124
485.1058693532694,506.4,527.6941306467306
466.8783721411686,494.4,521.9216278588314
463.15500056192343,485.4,507.6449994380765
463.34531005456483,490.8,518.2546899454352
492.03921489195164,511.4,530.7607851080483
485.85703677559263,497.4,508.9429632244073
477.19751259172176,497.3,517.4024874082783
488.5597927475052,504.0,519.4402072524948
469.0482776174528,494.45,519.8517223825471
497.80649487608616,513.2,528.5935051239139
477.9267520651887,493.8,509.67324793481134
475.2145502661416,497.2,519.1854497338584
481.41560191329586,503.2,524.9843980867041
484.4263386092888,499.6,514.7736613907113
477.1577352478193,498.0,518.8422647521807
485.9974028164063,501.4,516.8025971835937
479.24917583910405,502.0,524.750824160896
470.497126626581,492.25,514.002873373419
487.95489340336223,506.6,525.2451065966378
478.0844448539952,502.2,526.3155551460047
482.7277254929131,496.6,510.4722745070869
470.05190173685696,497.0,523.948098263143
481.6788262239769,499.4,517.121173776023
488.5545104753764,511.0,533.4454895246237
483.57587461280866,506.8,530.0241253871914
485.3893231552191,506.0,526.6106768447809
476.0363937387324,498.0,519.9636062612676
470.3177890470749,494.2,518.082210952925
477.42902105554094,497.4,517.370978944459
480.47010238216603,504.4,528.3298976178339
469.6254096359051,494.8,519.9745903640949
487.28351496744153,506.4,525.5164850325584
471.50760501927004,493.2,514.8923949807299
473.11564730354166,492.6,512.0843526964584
486.2212234958779,506.0,525.7787765041221
485.14513763404335,503.4,521.6548623659567
489.7762676008372,505.8,521.8237323991629
471.47602185989274,493.8,516.1239781401073
474.1504717027781,498.0,521.8495282972219
478.2831901921449,500.6,522.9168098078552
493.1697316731656,506.4,519.6302683268343
476.2162842088269,502.0,527.7837157911731
481.19248226534535,507.8,534.4075177346547
480.3451376340442,498.6,516.8548623659559
474.4581326492925,499.2,523.9418673507074
473.3585714699815,498.0,522.6414285300185
483.01161015168753,505.4,527.7883898483125
472.5377197729385,492.8,513.0622802270616
474.37477272852504,495.0,515.625227271475
474.8603898200469,500.0,525.139610179953
477.25178192603096,500.4,523.548218073969
